"Formulation_ID","API concentration final(%)","Chitosan","Alginate","Calcium chloride","TPP","Surfactant_MW","Surfactant_HLB","Surfactant  Concentratin (%)","Particle_Size (nm)","Encapsulation_Efficiency  (%)","Loading_capacity (%)","Zeta_Potential (clean)","SlogP","TPSA","AMW","NumRotatableBonds","NumHBD","NumHBA","NumAromaticRings","NumSaturatedRings","NumAliphaticRings"
65,0.00526802218114602,0.0147258163894023,0.0442513863216266,0.00921749845964264,0,12600,22,0.0036660505237215,410,10,,-22.3,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
66,0.00526802218114602,0.00427048675292668,0.0442513863216266,0.00921749845964264,0,12600,22,0.0036660505237215,321,20,,-20.8,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
67,0.00175600739371534,0.0069211337030191,0.0442513863216266,0.00921749845964264,0,0,0,0,315,34,,-23.7,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
68,0.00175600739371534,0.0069211337030191,0.0442513863216266,0.00921749845964264,0,12600,22,0.00733210104744301,319,37,,-20.4,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
69,0.00175600739371534,0.0069211337030191,0.0442513863216266,0.00921749845964264,0,0,0,0,347,10,,-19.1,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
70,0.00175600739371534,0.0069211337030191,0.0442513863216266,0.00921749845964264,0,12600,22,0.00733210104744301,446,18,,-22.3,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
71,0.00351201478743068,0.0069211337030191,0.0442513863216266,0.00921749845964264,0,12600,22,0.0036660505237215,253,55,,-17.2,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
72,0.00351201478743068,0.0069211337030191,0.0442513863216266,0.00921749845964264,0,12600,22,0.0036660505237215,276,45,,-18.2,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
73,0.00351201478743068,0.0069211337030191,0.0442513863216266,0.00921749845964264,0,12600,22,0.0036660505237215,257,51,,-16.2,1.9509199999999998,99.6,351.4090000000001,2,2,6,2,0,1
74,0.01,0.02,0.1,0,0,12600,22,0.012,265,61.5,,41.59,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
75,0.01,0.06,0.1,0,0,12600,22,0.012,633,91.6,,57.81,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
76,0.04,0.02,0.1,0,0,12600,22,0.012,300,23.5,,35.04,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
77,0.04,0.06,0.1,0,0,12600,22,0.012,638,47.5,,41.97,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
78,0.025,0.02,0.1,0,0,0,0,0,268,24,,56.75,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
79,0.025,0.06,0.1,0,0,0,0,0,616,66.4,,61.9,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
80,0.025,0.02,0.1,0,0,12600,22,0.025,321,33.2,,58.15,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
81,0.025,0.06,0.1,0,0,12600,22,0.025,601,88,,60.99,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
82,0.01,0.04,0.1,0,0,0,0,0,382,79.6,,57.12,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
83,0.04,0.04,0.1,0,0,0,0,0,574,31.8,,53.46,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
84,0.01,0.04,0.1,0,0,12600,22,0.025,414,84.9,,46.79,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
85,0.04,0.04,0.1,0,0,12600,22,0.025,519,36,,54.08,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
86,0.025,0.04,0.1,0,0,12600,22,0.012,600,52.4,,59.22,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
87,0.025,0.04,0.1,0,0,12600,22,0.012,508,52,,59.76,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
88,0.025,0.04,0.1,0,0,12600,22,0.012,594,52.8,,60.06,-2.4503999999999992,227.45999999999998,419.45600000000024,4,4,6,1,2,2
89,0.0103448275862069,0.00103448275862069,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,125,61.3,15.9,-34.5,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
90,0.0103448275862069,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,214,73.1,18.5,-22.9,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
91,0.0103448275862069,0.00103448275862069,0.0413793103448276,0.00924137931034483,0,12600,22,1.03448275862069,156,68.4,8.7,-32.4,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
92,0.0103448275862069,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,1.03448275862069,382,73.5,7.6,-21.4,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
93,0.00344827586206897,0.00103448275862069,0.0413793103448276,0.00924137931034483,0,12600,22,0.862068965517241,150,41.4,3.9,-33.6,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
94,0.00344827586206897,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,0.862068965517241,291,61.3,4.5,-22.7,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
95,0.0172413793103448,0.00103448275862069,0.0413793103448276,0.00924137931034483,0,12600,22,0.862068965517241,148,78.2,23.6,-34.3,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
96,0.0172413793103448,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,12600,22,0.862068965517241,320,70.7,20.4,-20.3,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
97,0.00344827586206897,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,209,42.9,3.1,-30.2,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
98,0.00344827586206897,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,1.03448275862069,341,55.1,2.7,-26.1,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
99,0.0172413793103448,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,0.689655172413793,248,82.9,28.2,-25.6,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
100,0.0172413793103448,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,1.03448275862069,315,73.5,13.7,-27.1,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
101,0.0103448275862069,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,0.862068965517241,244,83.4,17.3,-30.8,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
102,0.0103448275862069,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,0.862068965517241,261,81.9,17.8,-30.4,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
103,0.0103448275862069,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,12600,22,0.862068965517241,253,82.8,16.1,-29.5,5.719000000000006,160.95999999999998,652.6930000000002,19,1,12,2,0,0
119,0.16,0.012,0.032,0.008,0,0,0,0,263,98.07,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
120,0.48,0.012,0.064,0.008,0,0,0,0,344,98.1,,-42,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
121,0.48,0.004,0.032,0.008,0,0,0,0,366,97.69,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
122,0.16,0.004,0.064,0.008,0,0,0,0,441,97.93,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
123,0.48,0.004,0.032,0.008,0,0,0,0,176,98.02,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
124,0.32,0.008,0.048,0.008,0,0,0,0,377,99.16,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
125,0.16,0.012,0.064,0.008,0,0,0,0,386,98.04,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
126,0.32,0.008,0.048,0.008,0,0,0,0,383,99.21,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
127,0.48,0.004,0.064,0.008,0,0,0,0,246,97.58,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
128,0.16,0.004,0.032,0.008,0,0,0,0,217,97.96,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
129,0.32,0.008,0.048,0.008,0,0,0,0,372,99.13,,,-1.6248999999999993,64.35,102.093,0,2,3,0,1,1
130,0.00172413793103448,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,1310,15,0.344827586206897,282,46.9,7.1,-22.3,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
131,0.00517241379310345,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,1310,15,0.344827586206897,263,49,24,-24.3,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
132,0.00172413793103448,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,1310,15,1.37931034482759,330,45.7,4.7,-22.1,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
133,0.00517241379310345,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,1310,15,1.37931034482759,294,48.8,14.6,-20.6,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
134,0.00172413793103448,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,1310,15,0.689655172413793,295,48.4,9.9,-11.4,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
135,0.00517241379310345,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,1310,15,0.689655172413793,281,54.5,27.4,-10.8,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
136,0.00172413793103448,0.00827586206896552,0.0413793103448276,0.00924137931034483,0,1310,15,0.689655172413793,984,48.9,4,-27.4,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
137,0.00517241379310345,0.00827586206896552,0.0413793103448276,0.00924137931034483,0,1310,15,0.689655172413793,1120,48.2,12.5,-28.4,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
138,0.00344827586206897,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,1310,15,0.344827586206897,267,49.2,10.9,-14.3,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
139,0.00344827586206897,0.00206896551724138,0.0413793103448276,0.00924137931034483,0,1310,15,1.37931034482759,199,49.5,18.1,-13.5,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
140,0.00344827586206897,0.00827586206896552,0.0413793103448276,0.00924137931034483,0,1310,15,0.344827586206897,899,46.9,7.6,-30.8,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
141,0.00344827586206897,0.00827586206896552,0.0413793103448276,0.00924137931034483,0,1310,15,1.37931034482759,992,46,6,-25.4,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
142,0.00344827586206897,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,1310,15,0.689655172413793,255,48.8,11.9,-25,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
143,0.00344827586206897,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,1310,15,0.689655172413793,245,49.2,12.3,-22.4,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
144,0.00344827586206897,0.00413793103448276,0.0413793103448276,0.00924137931034483,0,1310,15,0.689655172413793,287,47.8,11.8,-21.8,3.3699000000000026,93.06000000000002,368.38500000000005,8,2,6,2,0,0
145,0.016,0.036,0.00054,0,0.006,1310,15,0.36,218,85.5,,36.7,8.692200000000005,96.36,658.9200000000002,11,2,6,0,3,3
146,0.016,0.036,0.00162,0,0.006,1310,15,0.36,395,69.3,,23.7,8.692200000000005,96.36,658.9200000000002,11,2,6,0,3,3
147,0.016,0.036,0.00054,0,0.006,1310,15,1.08,307,71.1,,32.1,8.692200000000005,96.36,658.9200000000002,11,2,6,0,3,3
